epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9911,1.51215,3.3592,1.49855,0.01561,0.2225,0.01041,0.00437,1.16756,3.53324,1.66568,2e-05,2e-05,2e-05
2,18.2335,1.2958,3.32183,1.45001,0.02439,0.3475,0.01724,0.00955,1.10008,3.40928,1.45127,5.8812e-05,5.8812e-05,5.8812e-05
3,25.7258,1.37236,3.29267,1.33036,0.04807,0.685,0.04974,0.03131,0.9949,3.15604,1.17409,9.604e-05,9.604e-05,9.604e-05
4,33.4392,0.94957,3.04023,1.07841,0.06456,0.92,0.09798,0.06599,0.89837,2.98635,1.00882,0.000131684,0.000131684,0.000131684
5,41.7552,1.05168,2.94198,1.10331,0.06789,0.9675,0.11175,0.07314,0.8825,2.8952,0.97544,0.000165744,0.000165744,0.000165744
6,48.8898,0.99605,2.83776,1.10399,0.06754,0.9625,0.15989,0.10929,0.81565,2.85119,0.93616,0.00019822,0.00019822,0.00019822
7,56.3074,0.84604,2.59603,1.02686,0.06807,0.97,0.20486,0.13837,0.74861,2.83896,0.91758,0.000229112,0.000229112,0.000229112
8,63.3898,0.96017,2.45038,1.11086,0.0693,0.9875,0.32466,0.20809,0.74549,2.78836,0.90738,0.00025842,0.00025842,0.00025842
9,70.8877,0.90692,2.22244,1.09497,0.06947,0.99,0.43363,0.28254,0.74114,2.73544,0.88977,0.000286144,0.000286144,0.000286144
10,79.0957,0.90046,2.19064,1.01335,0.06912,0.985,0.53168,0.35275,0.74684,2.68563,0.88055,0.000312284,0.000312284,0.000312284
11,86.8454,0.91462,2.25768,1.01026,0.0693,0.9875,0.59495,0.41279,0.69453,2.63766,0.86659,0.00033684,0.00033684,0.00033684
12,94.0517,0.98458,2.1493,1.07846,0.06982,0.995,0.62332,0.45755,0.66087,2.60033,0.85833,0.000359812,0.000359812,0.000359812
13,102.651,0.94044,1.84913,1.10228,0.07,0.9975,0.59006,0.43861,0.67706,2.56879,0.86497,0.0003812,0.0003812,0.0003812
14,109.914,1.20349,1.79347,1.16443,0.06982,0.995,0.54029,0.38471,0.68115,2.55399,0.86584,0.000401004,0.000401004,0.000401004
15,117.631,0.82499,1.66659,1.01094,0.06982,0.995,0.50282,0.35102,0.70068,2.53356,0.87487,0.000419224,0.000419224,0.000419224
16,125.421,0.85051,1.6101,0.99449,0.06982,0.995,0.48755,0.34444,0.72214,2.50455,0.88231,0.00043586,0.00043586,0.00043586
17,132.663,1.01164,1.50835,1.11616,0.06982,0.995,0.48443,0.34921,0.69533,2.48492,0.88,0.000450912,0.000450912,0.000450912
18,140.496,0.71794,1.34969,0.91881,0.06965,0.9925,0.45425,0.33947,0.63963,2.4763,0.86886,0.00046438,0.00046438,0.00046438
19,148.309,0.75113,1.26874,0.97617,0.06965,0.9925,0.4638,0.36332,0.5986,2.47366,0.85818,0.000476264,0.000476264,0.000476264
20,154.854,0.91145,1.44366,1.09711,0.06965,0.9925,0.52624,0.40201,0.645,2.47655,0.87381,0.000486564,0.000486564,0.000486564
21,161.758,0.86501,1.19521,0.96983,0.12908,0.94,0.59774,0.46092,0.68236,2.46891,0.88539,0.00049528,0.00049528,0.00049528
22,168.72,0.79188,1.25079,1.00487,0.61115,0.7325,0.6432,0.51807,0.65113,2.43794,0.88468,0.000502412,0.000502412,0.000502412
23,175.661,0.75388,1.16952,0.97788,0.68718,0.72492,0.6652,0.55373,0.59413,2.41965,0.87541,0.00050796,0.00050796,0.00050796
24,182.206,0.66731,1.04565,0.95141,0.67674,0.735,0.66763,0.56874,0.58752,2.4014,0.87512,0.000511924,0.000511924,0.000511924
25,189.305,0.70756,0.99977,0.97549,0.75061,0.6975,0.68959,0.58975,0.58715,2.36408,0.87522,0.000514304,0.000514304,0.000514304
26,196.384,0.72991,0.89309,0.98479,0.77884,0.55466,0.70816,0.615,0.57819,2.30385,0.87209,0.0005151,0.0005151,0.0005151
27,203.548,0.86748,1.12092,1.0926,0.87983,0.25625,0.74707,0.64118,0.60564,2.23798,0.87333,0.000514312,0.000514312,0.000514312
28,210.17,0.71692,0.9358,0.963,0.87983,0.25625,0.74707,0.64118,0.60564,2.23798,0.87333,0.00051194,0.00051194,0.00051194
29,216.84,0.77734,0.93489,0.97534,0.83171,0.34596,0.74756,0.6392,0.59996,2.16793,0.86646,0.000507984,0.000507984,0.000507984
30,223.863,0.76904,1.04334,1.0318,0.82981,0.39007,0.75341,0.64891,0.57762,2.09937,0.86151,0.000502444,0.000502444,0.000502444
31,230.993,0.70572,0.8386,0.95127,0.82981,0.39007,0.75341,0.64891,0.57762,2.09937,0.86151,0.00049532,0.00049532,0.00049532
32,237.7,0.67199,0.90877,0.98024,0.82484,0.54,0.77467,0.67296,0.55915,1.98308,0.85855,0.000486612,0.000486612,0.000486612
33,244.34,0.71809,0.89725,0.97597,0.84369,0.75566,0.81847,0.7099,0.55063,1.83304,0.85694,0.00047632,0.00047632,0.00047632
34,250.593,0.6796,0.89969,0.98317,0.84369,0.75566,0.81847,0.7099,0.55063,1.83304,0.85694,0.000464444,0.000464444,0.000464444
35,257.005,0.63018,0.90702,0.95305,0.84685,0.82,0.87256,0.75747,0.54564,1.67227,0.85522,0.000450984,0.000450984,0.000450984
36,263.132,0.93976,1.84329,1.20613,0.84112,0.845,0.88485,0.76742,0.53934,1.55664,0.85061,0.00043594,0.00043594,0.00043594
37,269.704,0.74546,0.8367,0.93713,0.84112,0.845,0.88485,0.76742,0.53934,1.55664,0.85061,0.000419312,0.000419312,0.000419312
38,275.857,0.66981,0.84761,0.96058,0.82985,0.8657,0.88704,0.77702,0.52275,1.45742,0.84532,0.0004011,0.0004011,0.0004011
39,281.776,0.65977,0.83123,0.97932,0.83812,0.88018,0.90581,0.79883,0.51088,1.3879,0.84441,0.000381304,0.000381304,0.000381304
40,287.485,0.60996,0.75041,0.95243,0.83812,0.88018,0.90581,0.79883,0.51088,1.3879,0.84441,0.000359924,0.000359924,0.000359924
41,301.403,0.55324,0.7756,0.91543,0.83878,0.89746,0.91075,0.8071,0.49807,1.30911,0.8413,0.00033696,0.00033696,0.00033696
